name,tier,sector,sub_sector,region,country,hq,employees,fit,functions,website,linkedin,careers,notes
Plaid,Tier 1,Open Banking & Data Connectivity,Open Banking & Data Connectivity,US / Europe / LATAM,,,,10,"Engineering, Product, Partnerships, Commercial",https://www.plaid.com,https://www.linkedin.com/company/plaid,https://www.plaid.com/careers,"Tier 1 Open Banking & Data Connectivity talent pool for Lean. Useful for engineering, product, partnerships, commercial mapping."
Tink,Tier 1,Open Banking & Data Connectivity,Open Banking & Data Connectivity,US / Europe / LATAM,,,,10,"Engineering, Product, Partnerships, Commercial",https://www.tink.com,https://www.linkedin.com/company/tink,https://www.tink.com/careers,"Tier 1 Open Banking & Data Connectivity talent pool for Lean. Useful for engineering, product, partnerships, commercial mapping."
TrueLayer,Tier 1,Open Banking & Data Connectivity,Open Banking & Data Connectivity,US / Europe / LATAM,,,,10,"Engineering, Product, Partnerships, Commercial",https://www.truelayer.com,https://www.linkedin.com/company/truelayer,https://www.truelayer.com/careers,"Tier 1 Open Banking & Data Connectivity talent pool for Lean. Useful for engineering, product, partnerships, commercial mapping."
Yapily,Tier 1,Open Banking & Data Connectivity,Open Banking & Data Connectivity,US / Europe / LATAM,,,,10,"Engineering, Product, Partnerships, Commercial",https://www.yapily.com,https://www.linkedin.com/company/yapily,https://www.yapily.com/careers,"Tier 1 Open Banking & Data Connectivity talent pool for Lean. Useful for engineering, product, partnerships, commercial mapping."
Volt,Tier 1,Open Banking & Data Connectivity,Open Banking & Data Connectivity,US / Europe / LATAM,,,,10,"Engineering, Product, Partnerships, Commercial",https://www.volt.com,https://www.linkedin.com/company/volt,https://www.volt.com/careers,"Tier 1 Open Banking & Data Connectivity talent pool for Lean. Useful for engineering, product, partnerships, commercial mapping."
Token.io,Tier 1,Open Banking & Data Connectivity,Open Banking & Data Connectivity,US / Europe / LATAM,,,,10,"Engineering, Product, Partnerships, Commercial",https://token.io,https://www.linkedin.com/company/token-io,https://token.io/careers,"Tier 1 Open Banking & Data Connectivity talent pool for Lean. Useful for engineering, product, partnerships, commercial mapping."
Finicity,Tier 1,Open Banking & Data Connectivity,Open Banking & Data Connectivity,US / Europe / LATAM,,,,10,"Engineering, Product, Partnerships, Commercial",https://www.finicity.com,https://www.linkedin.com/company/finicity,https://www.finicity.com/careers,"Tier 1 Open Banking & Data Connectivity talent pool for Lean. Useful for engineering, product, partnerships, commercial mapping."
Bud,Tier 1,Open Banking & Data Connectivity,Open Banking & Data Connectivity,US / Europe / LATAM,,,,10,"Engineering, Product, Partnerships, Commercial",https://www.bud.com,https://www.linkedin.com/company/bud,https://www.bud.com/careers,"Tier 1 Open Banking & Data Connectivity talent pool for Lean. Useful for engineering, product, partnerships, commercial mapping."
Salt Edge,Tier 1,Open Banking & Data Connectivity,Open Banking & Data Connectivity,US / Europe / LATAM,,,,10,"Engineering, Product, Partnerships, Commercial",https://www.salt-edge.com,https://www.linkedin.com/company/salt-edge,https://www.salt-edge.com/careers,"Tier 1 Open Banking & Data Connectivity talent pool for Lean. Useful for engineering, product, partnerships, commercial mapping."
Belvo,Tier 1,Open Banking & Data Connectivity,Open Banking & Data Connectivity,US / Europe / LATAM,,,,10,"Engineering, Product, Partnerships, Commercial",https://www.belvo.com,https://www.linkedin.com/company/belvo,https://www.belvo.com/careers,"Tier 1 Open Banking & Data Connectivity talent pool for Lean. Useful for engineering, product, partnerships, commercial mapping."
Stripe,Tier 1,Payments Infrastructure,Payments Infrastructure,Global,,,,10,"Engineering, Product, Partnerships, Commercial, Risk",https://www.stripe.com,https://www.linkedin.com/company/stripe,https://www.stripe.com/careers,"Tier 1 Payments Infrastructure talent pool for Lean. Useful for engineering, product, partnerships, commercial, risk mapping."
Adyen,Tier 1,Payments Infrastructure,Payments Infrastructure,Global,,,,10,"Engineering, Product, Partnerships, Commercial, Risk",https://www.adyen.com,https://www.linkedin.com/company/adyen,https://www.adyen.com/careers,"Tier 1 Payments Infrastructure talent pool for Lean. Useful for engineering, product, partnerships, commercial, risk mapping."
Checkout.com,Tier 1,Payments Infrastructure,Payments Infrastructure,Global,,,,10,"Engineering, Product, Partnerships, Commercial, Risk",https://www.checkout.com,https://www.linkedin.com/company/checkout-com,https://www.checkout.com/careers,"Tier 1 Payments Infrastructure talent pool for Lean. Useful for engineering, product, partnerships, commercial, risk mapping."
