name,sector,sub_sector,priority_tier,lean_fit_score,region,country,hq,employees,website_url,linkedin_company_url,careers_url,recommended_functions,rationale,source,source_url,source_profile_url,awesomefintech_categories,awesomefintech_rank,data_sources
21Inc,FinTech,AI,Tier 2,7,Global,US,San Francisco,,,https://www.linkedin.com/search/results/companies/?keywords=21Inc,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance","The 21 Bitcoin Computer is the first computer with native hardware and software support for the Bitcoin protocol. That means; the hardware to mine a stream of small amounts of bitcoin for development purposes, and the software to make that bitcoin useful for buying and selling digital goods. Developers and bitcoin enthusiasts can use the 21 Bitcoin Computer to quickly create apps, services, and devices that can be rented or bought for bitcoin. The 21 Bitcoin Chip is an application specific integrated circuit (ASIC) specifically designed to mine in the background to provide a small stream of bitcoin to your computer as a system resource for software development purposes.",FinTech Weekly directory,https://www.fintechweekly.com/fintech-companies/,https://www.fintechweekly.com/fintech-companies/21inc,,,FinTech Weekly directory
ACCEPTEMAIL,FinTech,AI,Tier 2,7,Europe,Netherlands,Amstelveen,11 to 20,,https://www.linkedin.com/search/results/companies/?keywords=ACCEPTEMAIL,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance",AcceptEmail provides billers with the key to effective & informed customer interaction by leveraging changing consumer attitudes toward traditional billing methods.,FinTech Weekly directory,https://www.fintechweekly.com/fintech-companies/,https://www.fintechweekly.com/fintech-companies/acceptemail,,,FinTech Weekly directory
APPLIED BLOCKCHAIN,FinTech,AI,Tier 2,7,Europe,UK,London,1 to 10,,https://www.linkedin.com/search/results/companies/?keywords=APPLIED+BLOCKCHAIN,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance",Applied Blockchain develops private blockchain applications for their clients.,FinTech Weekly directory,https://www.fintechweekly.com/fintech-companies/,https://www.fintechweekly.com/fintech-companies/applied-blockchain,,,FinTech Weekly directory
AcureRate Technologies,FinTech,AI,Tier 2,7,MENA,Israel,,,,https://www.linkedin.com/search/results/companies/?keywords=AcureRate+Technologies,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance","AcureRate Technologies is dedicated to helping professionals and organizations identify credible, trustworthy parties with relevant interests for making safe, secure business deals. The company’s campaigns are designed to enable an organization’s team to identify and target relevant people for business deals including fundraising, service provider selection, customer acquisition, and more – all in a shorter time frame.",FinTech Weekly directory,https://www.fintechweekly.com/fintech-companies/,https://www.fintechweekly.com/fintech-companies/acurerate-technologies,,,FinTech Weekly directory
Aero-plan,FinTech,AI,Tier 2,7,MENA,Israel,,,,https://www.linkedin.com/search/results/companies/?keywords=Aero-plan,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance","Aero-plan is an online B2B marketplace for medical transport services that connects travel insurance and assistance companies with a vetted network of medical air-transport providers.  Aero-plan maps patients in need of global transport and delivers, in real time, numerous repatriation flight quotes from leading providers, matching clients’ specific requirements. The process creates visibility and transparency, facilitates cost containment, and mitigates medical and financial risk.",FinTech Weekly directory,https://www.fintechweekly.com/fintech-companies/,https://www.fintechweekly.com/fintech-companies/aero-plan,,,FinTech Weekly directory
Altalix Ltd,FinTech,AI,Tier 2,7,Europe,United Kingdom,LONDON,3,,https://www.linkedin.com/search/results/companies/?keywords=Altalix+Ltd,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance","Altalix enables fiat currencies on the blockchain, opening a world of smart contracts.",FinTech Weekly directory,https://www.fintechweekly.com/fintech-companies/,https://www.fintechweekly.com/fintech-companies/altalix-ltd,,,FinTech Weekly directory
Applied Data Finance,FinTech,AI,Tier 2,7,Global,,,,,https://www.linkedin.com/search/results/companies/?keywords=Applied+Data+Finance,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance",AwesomeFinTech public directory signal: AI #24. Prioritize for Lean talent mapping by category fit and funding/rank signal.,AwesomeFinTech public directory,https://www.awesomefintech.com/category/artificial-intelligence/,,AI,AI #24,AwesomeFinTech public directory
BHS SERVICES,FinTech,AI,Tier 2,7,Europe,Luxembourg,Luxembourg,1 to 10,,https://www.linkedin.com/search/results/companies/?keywords=BHS+SERVICES,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance",BHS Services is a service integrator and IT regulatory advisor in the domains of Fintech & digital transformation.,FinTech Weekly directory,https://www.fintechweekly.com/fintech-companies/,https://www.fintechweekly.com/fintech-companies/bhs-services,,,FinTech Weekly directory
BITMYMONEY,FinTech,AI,Tier 2,7,Europe,Netherlands,Delft,1 to 10,,https://www.linkedin.com/search/results/companies/?keywords=BITMYMONEY,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance",Bitmymoney is a simple & secure account for bitcoins. Bitmymoney makes it easy to buy bitcoins and manage an account.,FinTech Weekly directory,https://www.fintechweekly.com/fintech-companies/,https://www.fintechweekly.com/fintech-companies/bitmymoney,,,FinTech Weekly directory
BITSTAMP,FinTech,AI,Tier 2,7,Europe,UK,Aldermaston,11 to 20,,https://www.linkedin.com/search/results/companies/?keywords=BITSTAMP,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance",Bitstamp is a European Union based bitcoin marketplace. It allows people from all around the world to safely and easily buy and sell bitcoins.,FinTech Weekly directory,https://www.fintechweekly.com/fintech-companies/,https://www.fintechweekly.com/fintech-companies/bitstamp,,,FinTech Weekly directory
