name,sector,sub_sector,priority_tier,lean_fit_score,region,country,hq,website_url,linkedin_company_url,careers_url,crunchbase_url,recommended_functions,rationale,source,source_url,awesomefintech_categories,awesomefintech_rank
10x Future Technologies,FinTech,Open Banking,Tier 1,10,Global,,,,,,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance",AwesomeFinTech public directory signal: Open Banking #8. Prioritize for Lean talent mapping by category fit and funding/rank signal.,AwesomeFinTech public directory,https://www.awesomefintech.com/category/open-banking/,Open Banking,Open Banking #8
Airwallex,FinTech,Payments,Tier 1,10,Global,,,,,,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance",AwesomeFinTech public directory signal: Payments #37. Prioritize for Lean talent mapping by category fit and funding/rank signal.,AwesomeFinTech public directory,https://www.awesomefintech.com/category/payments/,Payments,Payments #37
Alloy,FinTech,Open Banking,Tier 1,10,Global,,,,,,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance",AwesomeFinTech public directory signal: Open Banking #20. Prioritize for Lean talent mapping by category fit and funding/rank signal.,AwesomeFinTech public directory,https://www.awesomefintech.com/category/open-banking/,Open Banking,Open Banking #20
Belvo,FinTech,Open Banking,Tier 1,10,Global,,,,,,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance",AwesomeFinTech public directory signal: Open Banking #22. Prioritize for Lean talent mapping by category fit and funding/rank signal.,AwesomeFinTech public directory,https://www.awesomefintech.com/category/open-banking/,Open Banking,Open Banking #22
Bunq,FinTech,Neobanks,Tier 1,10,Global,,,,,,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance",AwesomeFinTech public directory signal: Neobanks #37. Prioritize for Lean talent mapping by category fit and funding/rank signal.,AwesomeFinTech public directory,https://www.awesomefintech.com/category/challenger-banks/,Neobanks,Neobanks #37
Checkout.com,FinTech,Payments,Tier 1,10,Global,,,,,,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance","AwesomeFinTech public directory signal: Top 200 #23, Payments #17. Prioritize for Lean talent mapping by category fit and funding/rank signal.",AwesomeFinTech public directory,https://www.awesomefintech.com/category/payments/,Top 200; Payments,Top 200 #23; Payments #17
ComplyAdvantage,FinTech,RegTech,Tier 1,10,Global,,,,,,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance",AwesomeFinTech public directory signal: RegTech #44. Prioritize for Lean talent mapping by category fit and funding/rank signal.,AwesomeFinTech public directory,https://www.awesomefintech.com/category/regtech/,RegTech,RegTech #44
Feedzai,FinTech,RegTech,Tier 1,10,Global,,,,,,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance","AwesomeFinTech public directory signal: RegTech #13, AI #26. Prioritize for Lean talent mapping by category fit and funding/rank signal.",AwesomeFinTech public directory,https://www.awesomefintech.com/category/regtech/,RegTech; AI,RegTech #13; AI #26
Finxact,FinTech,Open Banking,Tier 1,10,Global,,,,,,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance",AwesomeFinTech public directory signal: Open Banking #17. Prioritize for Lean talent mapping by category fit and funding/rank signal.,AwesomeFinTech public directory,https://www.awesomefintech.com/category/open-banking/,Open Banking,Open Banking #17
Mambu,FinTech,Open Banking,Tier 1,10,Global,,,,,,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance",AwesomeFinTech public directory signal: Open Banking #11. Prioritize for Lean talent mapping by category fit and funding/rank signal.,AwesomeFinTech public directory,https://www.awesomefintech.com/category/open-banking/,Open Banking,Open Banking #11
